PatNum
10104677B2
10129648B1
10152627B2
10165667B1
10185878B2
10204677B1
10212428B2
10215856B1
10253804B2
10254945B1
10275858B2
10296442B2
10303420B2
10313357B2
10313967B2
10320394B1
10331163B1
10365931B2
10374610B1
10374829B2
10380228B2
10383006B2
10394292B1
10394957B2
